"country","intercept","slope_age","slope_gender"
"Algeria",-0.311058092341697,0.424122737143778,0.134062218548028
"Andorra",-0.621648308165717,0.235165491454328,0.300932944588129
"Argentina",-0.348375521256059,0.199775014693263,0.270831853446701
"Armenia",-0.550803359327901,0.233848744714525,0.35363816164303
"Australia",-0.486930731254525,0.265016784248688,0.34323879686094
"Azerbaijan",-0.745891536848824,0.191436834548637,0.558587424314703
"Belarus",-0.425420173452146,0.288350664804668,0.347226229022501
"Brazil",-0.00969423993167688,0.174009739670226,0.24291318964886
"Bulgaria",-0.23266375486257,0.208681469444225,0.165328073628358
"Burkina Faso",-0.595250061335235,0.0640800642447036,0.28087843128028
"Canada",-0.590790701710313,0.256820376606133,0.361295036608528
"Chile",-0.452717756763554,0.294240506546809,0.253777005218307
"China",0.0678136111363273,0.262876250801426,0.162287563193351
"Colombia",-0.500810787017982,0.172784376847437,0.369128989694742
"Cyprus (G)",-0.633401508681099,0.317536761195702,0.306498249628097
"Ecuador",-0.590525305993967,0.179755300320513,0.136191279580644
"Egypt",0.145196397030164,0.0915925333919884,0.136840257944417
"Estonia",-0.246099710730644,0.278072588772717,0.235451886274184
"Ethiopia",-0.249236061726705,0.121371067091848,0.0351752433100773
"Finland",-0.0666243814668608,0.205034658743331,0.185783058959655
"France",-0.424485322467228,0.246390589914143,0.349252145964334
"Georgia",-0.564638675542592,0.129886551797362,0.406181949530361
"Germany",-0.122433553057664,0.293294461039675,0.279859047462489
"Ghana",-0.807473748206786,0.067560309405647,0.126207785799133
"Great Britain",-0.703926909809759,0.188862568565064,0.449598002510733
"Haiti",0.488306135417831,0.304401526529011,-0.0112823199623543
"Hong Kong",-0.251944700632572,0.197165280068192,0.322532287481586
"Hungary",-0.15787761091957,0.316555221235625,0.2264949193072
"India",-0.521685558572408,0.0925427141480665,0.154113914135303
"Indonesia",-0.823234829072918,0.12943450490046,0.300008987033112
"Iran",-0.297454184546965,0.295637953617304,0.197037093672107
"Iraq",-0.209585484275926,0.200857495687707,0.182938670520062
"Japan",0.290685467783688,0.073165534816265,0.215566993896878
"Jordan",-0.760338467639143,0.250736228186131,0.238359510930985
"Kazakhstan",-0.0530535740265763,0.182904078022699,0.18494735954498
"Kuwait",-0.442427795207178,0.392612280985643,0.183788566210608
"Kyrgyzstan",-0.367497600723218,0.044062170519618,0.096772598083165
"Lebanon",-0.727382904547784,0.214905229238171,0.235232589567071
"Libya",-0.562322152728012,0.294390035315294,0.331516834560646
"Malaysia",-0.12806486187375,0.13906469034729,0.157810463463547
"Mali",-0.487348108857836,0.0603434594063074,0.0565680417483365
"Mexico",-0.297333337759534,0.166335391601726,0.318913875074901
"Moldova",0.0934088144476759,0.244745545090616,0.0594642026275463
"Morocco",-0.398738407021882,0.223852308123522,0.279134704746953
"Netherlands",-0.258110150915238,0.2139774071835,0.313036641340645
"New Zealand",-0.383741274530928,0.284477360884576,0.194505659537324
"Nigeria",-0.910899788155167,0.0272243329187361,0.0702302214847818
"Norway",-0.301964437785696,0.294865025357802,0.0922687143618855
"Pakistan",-0.699033194905613,0.0200929356680051,0.117295446089926
"Palestine",-0.47721396813373,0.278061239079313,0.299287928054354
"Peru",-0.230357149867271,0.158538209782944,0.319193330941027
"Philippines",-0.619150348046556,0.0665715699982195,0.0766812435760012
"Poland",-0.64993662478427,0.215713770654195,0.299436966870261
"Qatar",-0.656496391480631,0.155003472739849,0.386819881996634
"Romania",-0.169376909364533,0.220266373401868,0.267404259230122
"Russia",-0.4050069026142,0.166171870827329,0.216853014463843
"Rwanda",-0.379447168452906,0.0339601099496179,0.0630517790199491
"Singapore",-0.585867988681422,0.14873061263944,0.196463062264713
"Slovenia",-0.397468389561243,0.370033550879985,0.286978497452398
"South Africa",-0.623365198582209,0.134274679761043,0.101483648323937
"South Korea",-0.448017117408158,0.254583476684861,0.130767184901272
"Spain",-0.33332851488137,0.266176856015749,0.15264496655191
"Sweden",-0.389701798501082,0.245874394106323,0.267782410219924
"Switzerland",-0.376507794834045,0.15409862568787,0.375396572575051
"Taiwan",0.0947140089193497,0.28313331805991,0.23467629524147
"Thailand",-0.208695687855178,0.103239137682437,0.0750486913220103
"Trinidad and Tobago",-0.545978077664947,0.215176334623806,0.278075795995505
"Tunisia",-0.355423240744664,0.43230158835616,0.320649242654269
"Turkey",-0.432845763946929,0.226116107914557,0.232418480976162
"Ukraine",-0.233414393532394,0.259823740925835,0.263389118144873
"United States",-0.335503615359076,0.235814733599475,0.255545922829437
"Uruguay",0.0466973044745472,0.203232802842171,0.19082820662048
"Uzbekistan",-0.591691179510932,0.0878101409446752,0.279692740669283
"Viet Nam",-0.0882251061980926,0.109016189940386,0.276650602889951
"Yemen",0.180349873899845,0.199336810564762,0.234676284475289
"Zambia",-0.557218711345913,0.129160712143698,0.19439558900153
"Zimbabwe",-0.705060366602896,0.147295933660974,0.374345417427765
